REF_DATE,GEO,DGUID,Type of fuel,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Sep-79,"Winnipeg, Manitoba",2011S0503602,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735047,11.1,24.6,,,t,1
Sep-79,"Regina, Saskatchewan",2011S0503705,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735048,12.1,25.1,,,t,1
Sep-79,"Saskatoon, Saskatchewan",2011S0503725,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735049,13.1,25.1,,,t,1
Sep-79,"Edmonton, Alberta",2011S0503835,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735050,14.1,19.7,,,t,1
Sep-79,"Calgary, Alberta",2011S0503825,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735051,15.1,20.3,,,t,1
Sep-79,"Vancouver, British Columbia",2011S0503933,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735052,16.1,24.3,,,t,1
Oct-79,"St. John's, Newfoundland and Labrador",2011S0503001,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735046,2.1,28.6,,,t,1
Oct-79,"Charlottetown and Summerside, Prince Edward Island",,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735056,3.1,26.9,,,t,1
Oct-79,"Halifax, Nova Scotia",2011S0503205,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735057,4.1,25.4,,,t,1
Oct-79,"Saint John, New Brunswick",2011S0503310,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735058,5.1,25.3,,,t,1
Oct-79,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735059,6.1,25.6,,,t,1
Oct-79,"Montréal, Quebec",2011S0503462,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735060,7.1,25.3,,,t,1
Oct-79,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735061,8.1,25.3,,,t,1
Oct-79,"Toronto, Ontario",2011S0503535,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735062,9.1,25.6,,,t,1
Oct-79,"Thunder Bay, Ontario",2011S0503595,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735063,10.1,25.8,,,t,1
Oct-79,"Winnipeg, Manitoba",2011S0503602,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735047,11.1,24.8,,,t,1
Oct-79,"Regina, Saskatchewan",2011S0503705,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735048,12.1,25.1,,,t,1
Oct-79,"Saskatoon, Saskatchewan",2011S0503725,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735049,13.1,25.4,,,t,1
Oct-79,"Edmonton, Alberta",2011S0503835,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735050,14.1,19.8,,,t,1
Oct-79,"Calgary, Alberta",2011S0503825,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735051,15.1,20.5,,,t,1
Oct-79,"Vancouver, British Columbia",2011S0503933,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735052,16.1,24.4,,,t,1
Nov-79,"St. John's, Newfoundland and Labrador",2011S0503001,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735046,2.1,28.9,,,t,1
Nov-79,"Charlottetown and Summerside, Prince Edward Island",,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735056,3.1,27.2,,,t,1
Nov-79,"Halifax, Nova Scotia",2011S0503205,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735057,4.1,26.3,,,t,1
Nov-79,"Saint John, New Brunswick",2011S0503310,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735058,5.1,25.6,,,t,1
Nov-79,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735059,6.1,26,,,t,1
Nov-79,"Montréal, Quebec",2011S0503462,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735060,7.1,25.7,,,t,1
Nov-79,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735061,8.1,25.9,,,t,1
Nov-79,"Toronto, Ontario",2011S0503535,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735062,9.1,25.9,,,t,1
Nov-79,"Thunder Bay, Ontario",2011S0503595,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735063,10.1,26,,,t,1
Nov-79,"Winnipeg, Manitoba",2011S0503602,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735047,11.1,24.9,,,t,1
Nov-79,"Regina, Saskatchewan",2011S0503705,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735048,12.1,25.4,,,t,1
Nov-79,"Saskatoon, Saskatchewan",2011S0503725,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735049,13.1,25.6,,,t,1
Nov-79,"Edmonton, Alberta",2011S0503835,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735050,14.1,20.1,,,t,1
Nov-79,"Calgary, Alberta",2011S0503825,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735051,15.1,20.9,,,t,1
Nov-79,"Vancouver, British Columbia",2011S0503933,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735052,16.1,24.5,,,t,1
Dec-79,"St. John's, Newfoundland and Labrador",2011S0503001,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735046,2.1,29.6,,,t,1
Dec-79,"Charlottetown and Summerside, Prince Edward Island",,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735056,3.1,27.8,,,t,1
Dec-79,"Halifax, Nova Scotia",2011S0503205,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735057,4.1,26.2,,,t,1
Dec-79,"Saint John, New Brunswick",2011S0503310,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735058,5.1,25.9,,,t,1
Dec-79,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735059,6.1,26.6,,,t,1
Dec-79,"Montréal, Quebec",2011S0503462,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735060,7.1,26.3,,,t,1
Dec-79,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735061,8.1,26.7,,,t,1
Dec-79,"Toronto, Ontario",2011S0503535,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735062,9.1,26.7,,,t,1
